service_id,date,exception_type
B20140608WKD_N,20150513,2
B20140608WKD_N,20150514,2
B20140608WKD_N,20150515,2
B20140608WKD_N,20150518,2
B20140608WKD_N,20150519,2
B20140608WKD_N,20150520,2
B20140608WKD_N,20150521,2
B20140608WKD_N,20150522,2
B20140608WKD_N,20150525,2
B20140608WKD_N,20150526,2
B20140608WKD_N,20150527,2
B20140608WKD_N,20150528,2
B20140608WKD_N,20150529,2
B20140608WKD_N,20150601,2
B20140608WKD_N,20150602,2
B20140608WKD_N,20150603,2
B20140608WKD_N,20150604,2
B20140608WKD_N,20150605,2
B20140608WKD_N,20150608,2
B20140608WKD_N,20150609,2
B20140608WKD_N,20150610,2
B20140608WKD_N,20150611,2
B20140608WKD_N,20150612,2
B20140608WKD_N,20150615,2
B20140608WKD_N,20150616,2
B20140608WKD_N,20150617,2
B20140608WKD_N,20150618,2
B20140608WKD_N,20150619,2
B20140608WKD_N,20150622,2
B20140608WKD_N,20150623,2
B20140608WKD_N,20150624,2
B20140608WKD_N,20150625,2
B20140608WKD_N,20150626,2
B20140608WKD_N,20150629,2
B20140608WKD_N,20150630,2
B20140608WKD_N,20150701,2
B20140608WKD_N,20150702,2
B20140608WKD_N,20150703,2
B20140608WKD_N,20150706,2
B20140608WKD_N,20150707,2
B20140608WKD_N,20150708,2
B20140608WKD_N,20150709,2
B20140608WKD_N,20150710,2
B20140608WKD_N,20150713,2
B20140608WKD_N,20150714,2
B20140608WKD_N,20150715,2
B20140608WKD_N,20150716,2
B20140608WKD_N,20150717,2
B20140608WKD_N,20150720,2
B20140608WKD_N,20150721,2
B20140608WKD_N,20150722,2
B20140608WKD_N,20150723,2
B20140608WKD_N,20150724,2
B20140608WKD_N,20150727,2
B20140608WKD_N,20150728,2
B20140608WKD_N,20150729,2
B20140608WKD_N,20150730,2
B20140608WKD_N,20150731,2
B20140608WKD_N,20150803,2
B20140608WKD_N,20150804,2
B20140608WKD_N,20150805,2
B20140608WKD_N,20150806,2
B20140608WKD_N,20150807,2
B20140608WKD_N,20150810,2
B20140608WKD_N,20150811,2
B20140608WKD_N,20150812,2
B20140608WKD_N,20150813,2
B20140608WKD_N,20150814,2
B20140608WKD_N,20150817,2
B20140608WKD_N,20150818,2
