     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,11/15/2014-11/21/2014,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                             
R059,GRAND ARMY PLAZA              ,00016224,00002178,00000118,00000415,00000015,00005934,00016470,00000000,00000000,00000000,00000008,00000357,00000288,00000013,00001630,00000452,00000215,00000000,00000138,00000000,00000000,00000000,00002922,                                                                                                                               
R060,EASTERN PARKWAY               ,00009736,00000949,00000089,00000301,00000008,00004725,00010271,00000000,00000000,00000000,00000007,00000137,00000222,00000012,00001055,00000181,00000176,00000000,00000108,00000000,00000000,00000000,00002339,                                                                                                                               
R061,NOSTRAND AVENUE               ,00008001,00000528,00000086,00000159,00000001,00007059,00007018,00000000,00000000,00000000,00000011,00000039,00000171,00000006,00000529,00000032,00000070,00000000,00000064,00000000,00000000,00000000,00002694,                                                                                                                               
R062,UTICA AVENUE                  ,00048012,00002718,00000780,00001330,00000023,00048282,00036969,00000000,00000000,00000000,00000052,00000353,00000962,00000040,00003527,00000198,00000270,00000000,00000253,00000000,00000000,00000000,00010007,                                                                                                                               
R063,SUTTER AVENUE                 ,00016406,00000775,00000191,00000392,00000000,00015326,00007884,00000000,00000000,00000000,00000004,00000116,00000287,00000010,00000661,00000029,00000078,00000000,00000080,00000000,00000000,00000000,00004695,                                                                                                                               
R064,SARATOGA AVENUE               ,00013040,00000603,00000147,00000198,00000001,00010537,00006176,00000000,00000000,00000000,00000008,00000062,00000241,00000001,00000563,00000014,00000070,00000000,00000045,00000000,00000000,00000000,00003845,                                                                                                                               
R065,ROCKAWAY AVENUE               ,00012373,00000773,00000107,00000267,00000001,00010318,00004913,00000000,00000000,00000000,00000004,00000027,00000429,00000013,00000428,00000015,00000024,00000000,00000026,00000000,00000000,00000000,00004360,                                                                                                                               
R066,JUNIUS STREET                 ,00004325,00000327,00000069,00000076,00000000,00004958,00002189,00000000,00000000,00000000,00000000,00000016,00000178,00000000,00000152,00000008,00000017,00000000,00000009,00000000,00000000,00000000,00001955,                                                                                                                               
R067,PENNSYLVANIA AVENUE           ,00010345,00000576,00000125,00000199,00000000,00010398,00004863,00000000,00000000,00000000,00000011,00000059,00000377,00000009,00000497,00000013,00000038,00000000,00000054,00000000,00000000,00000000,00004300,                                                                                                                               
R068,VAN SICLEN AVENUE             ,00006833,00000359,00000039,00000073,00000005,00006383,00003232,00000000,00000000,00000000,00000002,00000036,00000198,00000003,00000302,00000009,00000014,00000000,00000027,00000000,00000000,00000000,00002053,                                                                                                                               
